crop,replicate,location,k
AR,1,ISU,0.01169368
AR,1,WIU,0.013361365
AR,2,ISU,0.012059013
AR,2,WIU,0.013841049
AR,3,ISU,0.0057218
AR,3,WIU,0.009612061
AR,4,ISU,0.008499428
AR,4,WIU,0.005181763
CR,1,ISU,0.011860474
CR,1,WIU,0.008874697
CR,2,ISU,0.009579575
CR,2,WIU,0.008549641
CR,3,ISU,0.003552603
CR,3,WIU,0.007506649
CR,4,ISU,0.008333648
CR,4,WIU,0.009673826
GPC,1,ISU,0.003726112
GPC,1,WIU,0.005659526
GPC,2,ISU,0.00425997
GPC,2,WIU,0.004109954
GPC,3,ISU,0.009995878
GPC,3,WIU,0.004559759
GPC,4,ISU,0.002746362
GPC,4,WIU,0.010185473
PCRO,1,ISU,0.010853747
PCRO,1,WIU,0.013460943
PCRO,2,ISU,0.012435228
PCRO,2,WIU,0.006009408
PCRO,3,ISU,0.012410434
PCRO,3,WIU,0.011044668
PCRO,4,ISU,0.01319726
PCRO,4,WIU,0.01082829
WPC,1,ISU,0.005686972
WPC,1,WIU,0.005976353
WPC,2,ISU,0.004921729
WPC,2,WIU,0.004256338
WPC,3,ISU,0.004853052
WPC,3,WIU,0.007498131
WPC,4,ISU,0.005947656
WPC,4,WIU,0.00588893